Segment ID,Segment Name
1144621,The Three Bridges
1239816,Kirkie to A90 Sprint
1553589,Arches to Winchburgh.
1757332,Edinburgh-bound pedal
2703741,Standingstanes Rd (NE Bound)
3002539,Curling Pond Downhill
3883370,Kirkliston to Cramond Brig
3919327,Home TT end
4411348,woods run
4560372,Craigie's mini climb
5106659,Abercorn S bends
5210549,Wrong way up Guthrie Whore!
5215024,Motorway Drop
5521158,Haymarket out
5531020,Standingstane-Craigiehall
6717801,Tram Depot to Winchburgh 
6717855,Tram Depot to Niddry Castle
6945259,Bend to Craigie turn
6975524,Zig Zag Descent
7275153,Gogar/Airport/Arches
7275166,Gogar/Airport/Winchburgh
7610648,T to the Arches
7668050,Standingstane to Burnshot
7782529,hello ducky
7850952,dundas castle
9942872,3 Bridges
10089055,Glasgow road Spring (finish before the lights)
10690585,Between the Gyles
11263338,Homeward bound TT
11655649,Craigie turn to Flyover
11810870,Boulder Dash
11871399,Abercorn church hill
11871449,bridge to Abercorn church
13000858,Palace Climb
13040351,Palm Canning
13925254,Saughtonhall to Gyle turnoff
14817287,Kirkliston Lights to Railway Viaduct
15032750,Peniel Place - Bottom to Top
15320177,Bump and Grind
15321672,Peniel Road - A89 to Railway Bridge
15321692,Peniel Road - Railway Bridge to End Northbound
15321715,Peniel Road to Niddry Road
15461585,Past The Jags
16132726,Castle terrace uphill
16399878,ცųཞŋʂɧơɬ ƈɧıƈąŋɛ 🐍
16404847,Burnshot Mini-Sprint
17418263,Historic Ascent 🏰
17744670,Bridge to Bridge
18481103,Bing Entrance to Farm Entrance Eastbound
18481123,Farm Entrance to Drambuie Roundabout
18841261,Downhill Frenzy
18846099,Bridge to Craigie's turn
18866130,Burning bridges
18890536,In search of hidden trail with yellow fields around
18896287,Up From Westerton Rd
19309800,Zoom Zoom
20914389,1k Out of Kirky
21233668,The long Shot  🏹 
23009196,The Other Way Down & Out
23083284,Twenty's Plenty
24008642,Kirkie to A90 (safe finish)
24548640,Mini DH to pond
29559276,Semple to Temple
