Promotion Seen,Timestamp
Feed Follow Option Coachmark,1590729388
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.CUMULATIVE_STATS_FEATURE_ED_DISMISS_BUTTON"">Cumulative Stats Feature Ed Dismiss Button</span>",1590061983
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.CUMULATIVE_STATS_FEATURE_ED_DISMISS_BUTTON"">Cumulative Stats Feature Ed Dismiss Button</span>",1590062053
Grade Adjusted Pace Activity Detail Upsell,1633891186
Grade Adjusted Pace Activity Detail Upsell,1636367789
Grade Adjusted Pace Activity Detail Upsell,1636367913
Grade Adjusted Pace Activity Detail Feature Education,1604873247
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616241011
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1618125427
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1618138153
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_HOME"">Navigation Tab Home</span>",1618330541
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS"">Navigation Tab Maps</span>",1618568437
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS"">Navigation Tab Groups</span>",1618568501
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU"">Navigation Tab You</span>",1618568440
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROGRESS"">Navigation Tab You Progress</span>",1618568478
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_ACTIVITIES"">Navigation Tab You Activities</span>",1618558110
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROFILE"">Navigation Tab You Profile</span>",1618568478
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SEGMENTS"">Navigation Tab Maps Segments</span>",1618568437
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_ROUTES"">Navigation Tab Maps Routes</span>",1632902891
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_ACTIVE"">Navigation Tab Groups Active</span>",1618568501
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CHALLENGES"">Navigation Tab Groups Challenges</span>",1618568503
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CLUBS"">Navigation Tab Groups Clubs</span>",1618568504
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_DISMISSED"">Navigation Home Education Dismissed</span>",1621964888
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_DISMISSED"">Navigation You Progress Education Dismissed</span>",1625134811
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1621259787
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1621712289
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1621964588
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1625054425
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1625054447
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1625134620
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1625134809
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_MAPS_J2"">Navigation Tab Education Modal Maps J2</span>",1622978176
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_GROUPS_J2"">Navigation Tab Education Modal Groups J2</span>",1622978178
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.ACTIVITY_DETAILS_LEADERBOARD_QUALITY_COACHMARK"">Activity Details Leaderboard Quality Coachmark</span>",1627371940
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.ACTIVITY_DETAILS_LEADERBOARD_QUALITY_COACHMARK"">Activity Details Leaderboard Quality Coachmark</span>",1627371970
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.MAP_SETTINGS_PERSONAL_HEATMAP_COACHMARK"">Map Settings Personal Heatmap Coachmark</span>",1634324292
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636218426
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636218493
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_DISMISSED"">Map Visibility Activity Coachmark Dismissed</span>",1636218498
